Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
15-11-2021,Monday,November,Q4,2021,148.149994,148.449997,146.399994,146.910004,146.910004,9632000
12-11-2021,Friday,November,Q4,2021,149,149.240005,147.539993,147.759995,147.759995,6100800
11-11-2021,Thursday,November,Q4,2021,148.770004,148.990005,148.190002,148.5,148.5,4534400
10-11-2021,Wednesday,November,Q4,2021,148.729996,149.619995,147.979996,148.440002,148.440002,5601200
09-11-2021,Tuesday,November,Q4,2021,149.520004,149.869995,148.869995,149.789993,149.789993,5000600
08-11-2021,Monday,November,Q4,2021,150.220001,150.509995,148.729996,149.270004,149.270004,5124400
05-11-2021,Friday,November,Q4,2021,152,152,149.619995,150.229996,150.229996,5026500
04-11-2021,Thursday,November,Q4,2021,150.179993,151.850006,149.830002,151.279999,151.279999,5049700
03-11-2021,Wednesday,November,Q4,2021,149.600006,150.289993,149.029999,150.179993,150.179993,4736500
02-11-2021,Tuesday,November,Q4,2021,149.970001,150.179993,149.279999,149.720001,149.720001,4546300
01-11-2021,Monday,November,Q4,2021,149.979996,150.75,149.350006,149.789993,149.789993,4183200
29-10-2021,Friday,October,Q4,2021,147.910004,150.100006,147.559998,149.419998,149.419998,7328600
28-10-2021,Thursday,October,Q4,2021,148.339996,148.979996,147.710007,148.449997,148.449997,4199500
27-10-2021,Wednesday,October,Q4,2021,148.960007,149.020004,147.389999,147.529999,147.529999,4855200
26-10-2021,Tuesday,October,Q4,2021,150,150.550003,148.460007,148.75,148.75,5806200
25-10-2021,Monday,October,Q4,2021,148.779999,150.520004,148.009995,150.059998,150.059998,6429300
22-10-2021,Friday,October,Q4,2021,147.100006,149.690002,147.100006,148.339996,148.339996,7065200
21-10-2021,Thursday,October,Q4,2021,146.580002,146.919998,145.809998,146.809998,146.809998,4651500
20-10-2021,Wednesday,October,Q4,2021,144.889999,146.490005,144.889999,146,146,5817900
19-10-2021,Tuesday,October,Q4,2021,144.630005,145.610001,143.660004,144.690002,144.690002,11148100
18-10-2021,Monday,October,Q4,2021,140,142.009995,139.830002,141.679993,141.679993,6629000
15-10-2021,Friday,October,Q4,2021,140.619995,141.100006,139.960007,140.550003,140.550003,6909600
14-10-2021,Thursday,October,Q4,2021,138.5,140.070007,138.5,139.869995,139.869995,6594500
13-10-2021,Wednesday,October,Q4,2021,139.5,140.009995,138.130005,138.369995,138.369995,5979300
12-10-2021,Tuesday,October,Q4,2021,139.339996,140.410004,139.070007,139.380005,139.380005,5263100
11-10-2021,Monday,October,Q4,2021,139.520004,140.779999,139.440002,139.529999,139.529999,4349400
08-10-2021,Friday,October,Q4,2021,139.660004,140.089996,139.009995,139.660004,139.660004,4615000
07-10-2021,Thursday,October,Q4,2021,138.779999,140.699997,138.759995,139.240005,139.240005,7022700
06-10-2021,Wednesday,October,Q4,2021,136.240005,137.789993,136.130005,137.619995,137.619995,6458900
05-10-2021,Tuesday,October,Q4,2021,135.949997,137.710007,135.899994,136.619995,136.619995,6865800
04-10-2021,Monday,October,Q4,2021,137.089996,138.229996,134.710007,135.729996,135.729996,9990100
01-10-2021,Friday,October,Q4,2021,139.259995,139.630005,135.919998,137.050003,137.050003,10004800
30-09-2021,Thursday,September,Q3,2021,140.639999,141.729996,139.25,139.380005,139.380005,7485900
29-09-2021,Wednesday,September,Q3,2021,140.649994,141.830002,140.320007,140.440002,140.440002,7125200
28-09-2021,Tuesday,September,Q3,2021,141.880005,142.070007,139.990005,140.5,140.5,6860300
27-09-2021,Monday,September,Q3,2021,142.869995,143.550003,141.839996,142.25,142.25,7083600
24-09-2021,Friday,September,Q3,2021,142.5,143.690002,142.490005,143.169998,143.169998,4453500
23-09-2021,Thursday,September,Q3,2021,143.220001,143.630005,142.449997,142.770004,142.770004,5195100
22-09-2021,Wednesday,September,Q3,2021,143.470001,143.600006,142.289993,142.690002,142.690002,5014800
21-09-2021,Tuesday,September,Q3,2021,142.699997,144.580002,142.669998,143.020004,143.020004,5812500
20-09-2021,Monday,September,Q3,2021,143.5,145.190002,141.619995,142.740005,142.740005,8351500
17-09-2021,Friday,September,Q3,2021,144.139999,146.160004,144.020004,144.729996,144.729996,24344200
16-09-2021,Thursday,September,Q3,2021,144.440002,145.309998,143.690002,145.029999,145.029999,6142800
15-09-2021,Wednesday,September,Q3,2021,144.070007,144.75,143.789993,144.550003,144.550003,4950000
14-09-2021,Tuesday,September,Q3,2021,145.479996,145.880005,143.919998,144.300003,144.300003,5511300
13-09-2021,Monday,September,Q3,2021,146.520004,147.149994,144.639999,145.059998,145.059998,6509800
10-09-2021,Friday,September,Q3,2021,147.199997,147.240005,145.429993,145.889999,145.889999,5255500
09-09-2021,Thursday,September,Q3,2021,147.460007,147.610001,145.839996,146.419998,146.419998,7442900
08-09-2021,Wednesday,September,Q3,2021,146.949997,148.320007,146.729996,147.460007,147.460007,6502800
07-09-2021,Tuesday,September,Q3,2021,148.970001,149.169998,147.059998,147.270004,147.270004,8448400
03-09-2021,Friday,September,Q3,2021,148.199997,149.649994,147.899994,149.25,149.25,5737300
02-09-2021,Thursday,September,Q3,2021,148.119995,148.789993,147.690002,148.559998,148.559998,6672700
01-09-2021,Wednesday,September,Q3,2021,147.559998,147.929993,146.570007,147.779999,147.779999,6352200
31-08-2021,Tuesday,August,Q3,2021,147.990005,148.440002,147.240005,148.100006,148.100006,8359500
30-08-2021,Monday,August,Q3,2021,146.419998,148,146.020004,147.699997,147.699997,5480200
27-08-2021,Friday,August,Q3,2021,147.509995,147.690002,146.179993,146.520004,146.520004,7691300
26-08-2021,Thursday,August,Q3,2021,147.470001,148.270004,146.669998,147.350006,147.350006,7822300
25-08-2021,Wednesday,August,Q3,2021,148.410004,149.279999,148.029999,148.960007,148.960007,7307100
24-08-2021,Tuesday,August,Q3,2021,150.5,150.5,148.699997,148.899994,148.899994,6276300
23-08-2021,Monday,August,Q3,2021,151.529999,151.789993,150.410004,150.449997,150.449997,5388700
20-08-2021,Friday,August,Q3,2021,150.479996,151.720001,149.75,151.449997,151.449997,6465300
19-08-2021,Thursday,August,Q3,2021,148.330002,150.660004,148,150.110001,150.110001,7543500
18-08-2021,Wednesday,August,Q3,2021,150.550003,152.570007,149.020004,149.100006,149.100006,9403900
17-08-2021,Tuesday,August,Q3,2021,150.399994,152.5,149.100006,150.699997,150.699997,16983400
16-08-2021,Monday,August,Q3,2021,149.679993,151.729996,149.039993,150.75,150.75,15930500
13-08-2021,Friday,August,Q3,2021,149.380005,150.360001,149.160004,149.529999,149.529999,5321900
12-08-2021,Thursday,August,Q3,2021,149,150.210007,148.809998,149.059998,149.059998,6089700
